Filename,Model,Dataset,Scale,PSNR,LPIPS,MS_SSIM,NIQE
0056.png,SRCNN,DIV2K,x4,23.53928755755533,0.4387337267398834,0.9167709350585938,6.671932088131149
0057.png,SRCNN,DIV2K,x4,33.92943833154087,0.5218451619148254,0.9742048978805542,8.159055636073848
0058.png,SRCNN,DIV2K,x4,27.658031589349882,0.37401852011680603,0.9475510120391846,6.530593726753031
0059.png,SRCNN,DIV2K,x4,24.75113389040057,0.5025734901428223,0.9282127618789673,6.501746110753946
0060.png,SRCNN,DIV2K,x4,20.216018718186312,0.5476768016815186,0.906195878982544,6.556130847943908
0061.png,SRCNN,DIV2K,x4,21.90208365353145,0.42602044343948364,0.9296101331710815,6.272399118669353
0062.png,SRCNN,DIV2K,x4,32.425898117178356,0.4524073898792267,0.966750979423523,7.048321384124051
0063.png,SRCNN,DIV2K,x4,32.33628339751807,0.22675679624080658,0.980810821056366,6.70897516814725
0064.png,SRCNN,DIV2K,x4,29.116210223668023,0.41637980937957764,0.9525102376937866,6.811733346415749
0065.png,SRCNN,DIV2K,x4,26.7020971647035,0.48346179723739624,0.9476325511932373,6.53040473526711
0066.png,SRCNN,DIV2K,x4,24.675591609895086,0.3532703220844269,0.9536358714103699,6.5663704754777665
0067.png,SRCNN,DIV2K,x4,26.879386429094623,0.3034694790840149,0.9588753581047058,6.290689082806802
0068.png,SRCNN,DIV2K,x4,30.90077825651185,0.0756845697760582,0.990149199962616,7.063757837786046
0069.png,SRCNN,DIV2K,x4,23.22316907299903,0.36003920435905457,0.9502172470092773,6.204532342055542
0070.png,SRCNN,DIV2K,x4,27.78268880730153,0.29814228415489197,0.9661911725997925,6.80022310272685
0071.png,SRCNN,DIV2K,x4,30.336026819747982,0.2429332435131073,0.9747471213340759,6.3947379434455405
0072.png,SRCNN,DIV2K,x4,23.20948632481653,0.4461768865585327,0.9294602274894714,6.49021149223542
0073.png,SRCNN,DIV2K,x4,23.21129340594409,0.4385969638824463,0.9305345416069031,6.571110967601985
0074.png,SRCNN,DIV2K,x4,28.858325181823474,0.4190782904624939,0.947803258895874,6.732441975426485
0075.png,SRCNN,DIV2K,x4,23.183111524458226,0.5005754232406616,0.9137264490127563,6.898583845282069
0076.png,SRCNN,DIV2K,x4,21.747189929589208,0.5534777641296387,0.8930412530899048,6.407935099617003
0077.png,SRCNN,DIV2K,x4,37.03880772561288,0.13905832171440125,0.9876523017883301,7.429181562205471
0078.png,SRCNN,DIV2K,x4,30.416328931953203,0.2792253792285919,0.9763111472129822,6.411572856585015
0079.png,SRCNN,DIV2K,x4,26.180357597682136,0.25529611110687256,0.9633826017379761,6.2347177090662065
0080.png,SRCNN,DIV2K,x4,31.20533260734005,0.20043806731700897,0.9782040119171143,6.556529831410051
0081.png,SRCNN,DIV2K,x4,25.405207187880233,0.3679249882698059,0.9463032484054565,6.672078687996798
0082.png,SRCNN,DIV2K,x4,32.7421119344699,0.11897750198841095,0.9887282848358154,6.737652733801448
0083.png,SRCNN,DIV2K,x4,25.586451765582915,0.34856265783309937,0.9368699789047241,6.565531614261713
0084.png,SRCNN,DIV2K,x4,24.767218601600884,0.4534148871898651,0.9366323351860046,6.467328715994785
0085.png,SRCNN,DIV2K,x4,22.167989309208647,0.5818320512771606,0.8918377757072449,6.752236803892337
0086.png,SRCNN,DIV2K,x4,34.08248329611648,0.2827697992324829,0.9841300249099731,6.715124180176703
0087.png,SRCNN,DIV2K,x4,24.503425587241402,0.363207072019577,0.9414830207824707,6.137803464359831
0088.png,SRCNN,DIV2K,x4,28.824417950708412,0.2300502061843872,0.9739140868186951,6.186582298983023
0089.png,SRCNN,DIV2K,x4,28.719903606371552,0.1744159758090973,0.9773672819137573,6.386800489292111
0090.png,SRCNN,DIV2K,x4,24.871672720580797,0.42881760001182556,0.9405802488327026,6.814910526371703
0091.png,SRCNN,DIV2K,x4,24.820152889585046,0.34045618772506714,0.9478267431259155,6.188428466057034
0092.png,SRCNN,DIV2K,x4,26.71748893853572,0.2340574562549591,0.9693011045455933,6.635219880397551
0093.png,SRCNN,DIV2K,x4,31.79230834836817,0.4617459774017334,0.9676076769828796,6.709804351528748
0094.png,SRCNN,DIV2K,x4,30.26828349805576,0.26043036580085754,0.9724980592727661,6.420642184616589
0095.png,SRCNN,DIV2K,x4,20.095915616427128,0.5848222970962524,0.8965718746185303,6.940004352488996
0096.png,SRCNN,DIV2K,x4,36.07410807406579,0.16121146082878113,0.9870543479919434,6.5449008218619635
0097.png,SRCNN,DIV2K,x4,21.465521425431806,0.4319182336330414,0.940044105052948,7.373078952829579
0098.png,SRCNN,DIV2K,x4,32.43269678749876,0.24057826399803162,0.980075478553772,6.452085973356264
0099.png,SRCNN,DIV2K,x4,28.362340298800458,0.18749108910560608,0.9720835089683533,6.187566152932631
0100.png,SRCNN,DIV2K,x4,25.6761096427927,0.2506520748138428,0.9560059309005737,5.83913418430037
0001.png,SRCNN,URBAN100,x2,28.452505574071317,0.15579193830490112,0.9895881414413452,5.930321237769457
0002.png,SRCNN,URBAN100,x2,28.905807643786225,0.08245329558849335,0.9938482046127319,5.724959254349109
0003.png,SRCNN,URBAN100,x2,24.84169426045215,0.17803063988685608,0.9861180782318115,4.974469306274969
0004.png,SRCNN,URBAN100,x2,27.26498144519823,0.05165117233991623,0.9955605268478394,4.416284410888729
